Age,Industry,JobTitle,AnnualSalary,AdditionalCompensation,State,City,YearsExperience,YearsInField,Education,Gender,Race,TotalCompensation,id
25-34,Education (Higher Education),Accounting Manager,66050,0.0,Idaho,Boise,8 - 10 years,5-7 years,College degree,Woman,White,66050.0,16.0
35-44,Government and Public Administration,Senior Administrative Assistant,38000,0.0,Texas,Plano,21 - 30 years,5-7 years,Some college,Woman,White,38000.0,48.0
35-44,Nonprofits,"Director of Governance, Leadership and Human Resources ",85000,0.0,California,Sacramento ,21 - 30 years,2 - 4 years,College degree,Woman,White,85000.0,6.0
25-34,Nonprofits,Marketing and development manager,90000,0.0,District of Columbia,Washington DC,5-7 years,2 - 4 years,Master's degree,Woman,White,90000.0,11.0
45-54,Education (Primary/Secondary),Director,108000,0.0,California,Fresno,21 - 30 years,21 - 30 years,PhD,Woman,White,108000.0,6.0
25-34,Computing or Tech,Senior Software Engineer,205000,250000.0,California,San Francisco,11 - 20 years,11 - 20 years,Some college,Man,White,455000.0,6.0
35-44,Government and Public Administration,Research scientist and program manager,107000,0.0,Washington,Seattle,5-7 years,5-7 years,PhD,Woman,White,107000.0,53.0
35-44,Engineering or Manufacturing,Senior civil engineer,95000,15000.0,Minnesota,Duluth,11 - 20 years,11 - 20 years,College degree,Woman,White,110000.0,27.0
25-34,Education (Primary/Secondary),Teacher,40000,0.0,North Carolina,Greensboro,1 year or less,1 year or less,Master's degree,Man,White,40000.0,37.0
35-44,"Accounting, Banking & Finance",Senior Finance Analyst,101000,0.0,Michigan,Troy,11 - 20 years,8 - 10 years,Master's degree,Woman,White,101000.0,26.0
25-34,Government and Public Administration,Informatics Section Manager,107500,0.0,Washington,Olympia,8 - 10 years,5-7 years,Master's degree,Man,White,107500.0,53.0
35-44,Nonprofits,Librarian,65000,0.0,Illinois,Barrington,11 - 20 years,11 - 20 years,Master's degree,Woman,White,65000.0,17.0
18-24,Law,Legal Administrator,32640,500.0,Washington,Vancouver,1 year or less,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",33140.0,53.0
45-54,Health care,RN,97500,0.0,Texas,Dallas,21 - 30 years,5-7 years,College degree,Woman,White,97500.0,48.0
35-44,Computing or Tech,QE Manager,110000,0.0,Texas,Austin,5-7 years,5-7 years,College degree,Woman,White,110000.0,48.0
25-34,Government and Public Administration,Program Specialist,70000,750.0,District of Columbia,"Washington, DC ",5-7 years,2 - 4 years,Master's degree,Woman,White,70750.0,11.0
35-44,Nonprofits,Executive Director ,215000,10000.0,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White,225000.0,36.0
25-34,Nonprofits,Digital Marketing Manager,60000,0.0,Illinois,Winnetka,5-7 years,5-7 years,College degree,Woman,White,60000.0,17.0
25-34,"Accounting, Banking & Finance",Compliance associate ,75000,7500.0,Missouri,St. Louis,8 - 10 years,5-7 years,Some college,Woman,White,82500.0,29.0
35-44,Health care,Physician Assistant,140000,0.0,Washington,Everett,11 - 20 years,5-7 years,Master's degree,Woman,White,140000.0,53.0
45-54,Education (Higher Education),Associate Professor,82000,0.0,North Carolina,Chapel Hill,21 - 30 years,11 - 20 years,PhD,Woman,White,82000.0,37.0
18-24,Government and Public Administration,Appraiser III,65000,0.0,California,San Bernardino,21 - 30 years,5-7 years,College degree,Woman,White,65000.0,6.0
25-34,Government and Public Administration,IT Manager,95000,0.0,Michigan,Detroit,8 - 10 years,8 - 10 years,College degree,Woman,White,95000.0,26.0
35-44,Computing or Tech,Software Engineer III,130000,0.0,Colorado,Boulder,11 - 20 years,11 - 20 years,College degree,Woman,White,130000.0,8.0
25-34,Computing or Tech,Sr Software Engineer,160000,20000.0,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Man,White,180000.0,17.0
25-34,Education (Higher Education),Proposal Development Manager,75000,0.0,California,Los Angeles,8 - 10 years,1 year or less,PhD,Woman,White,75000.0,6.0
35-44,Computing or Tech,Enablement manager,78000,0.0,North Carolina,Charlotte,8 - 10 years,2 - 4 years,College degree,Woman,White,78000.0,37.0
25-34,"Accounting, Banking & Finance",Compliance associate ,75000,7500.0,Missouri,St. Louis,8 - 10 years,5-7 years,Some college,Woman,White,82500.0,29.0
55-64,Computing or Tech,Associate Product Manager,80000,0.0,New York,Huntington,31 - 40 years,31 - 40 years,Master's degree,Woman,White,80000.0,36.0
25-34,"Accounting, Banking & Finance",Account Analyst,70800,0.0,Ohio,Cincinnati,5-7 years,2 - 4 years,College degree,Woman,White,70800.0,39.0
25-34,Education (Primary/Secondary),"Teacher, Secondary",58000,6000.0,Connecticut,Denver,8 - 10 years,5-7 years,Master's degree,Non-binary,White,64000.0,9.0
25-34,Health care,Client Account Manager,60000,6000.0,Wisconsin,Madison,5-7 years,2 - 4 years,Some college,Woman,White,66000.0,55.0
25-34,Computing or Tech,Software Engineer,120000,30000.0,New York,New York City,5-7 years,1 year or less,High School,Non-binary,White,150000.0,36.0
35-44,Computing or Tech,Principal Software Engineer ,210000,180000.0,Oregon,Portland,11 - 20 years,11 - 20 years,Some college,Woman,White,390000.0,41.0
45-54,Health care,Administrative assistant ,25000,0.0,Connecticut,Hartford,11 - 20 years,5-7 years,High School,Woman,White,25000.0,9.0
35-44,Education (Higher Education),Librarian,75000,0.0,Utah,Provo,11 - 20 years,11 - 20 years,Master's degree,Woman,White,75000.0,49.0
25-34,Law,Public defender,69000,100.0,Utah,Salt Lake City,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,69100.0,49.0
25-34,Health care,Epic Analyst III,105000,0.0,Texas,Austin,8 - 10 years,8 - 10 years,Master's degree,Woman,White,105000.0,48.0
25-34,"Accounting, Banking & Finance",Shareholder Engagement Specialist,28000,2500.0,Pennsylvania,"Pittsburgh, PA",5-7 years,1 year or less,Master's degree,Woman,White,30500.0,42.0
45-54,Education (Primary/Secondary),Principal ,127000,0.0,California,Modesto ,21 - 30 years,21 - 30 years,PhD,Woman,White,127000.0,6.0
25-34,Education (Higher Education),Testing Center Coordinator,45000,0.0,Michigan,Bay City,5-7 years,5-7 years,College degree,Woman,White,45000.0,26.0
25-34,"Accounting, Banking & Finance",Treasury Management Specialist,37700,2000.0,Massachusetts,Barnstable,5-7 years,1 year or less,Some college,Woman,White,39700.0,25.0
35-44,Nonprofits,Director of Mission Advancement Operations,75000,0.0,Texas,Austin,11 - 20 years,8 - 10 years,Master's degree,Woman,White,75000.0,48.0
35-44,Computing or Tech,Product Marketing Lead,130000,10000.0,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White,140000.0,27.0
18-24,Computing or Tech,Software Engineer I,89000,5000.0,Colorado,Fort Collins,1 year or less,1 year or less,Master's degree,Man,White,94000.0,8.0
45-54,Health care,Clinical bioethicist,117520,0.0,Washington,Vancouver,21 - 30 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,117520.0,53.0
25-34,Nonprofits,Finance Director,83500,1000.0,Virginia,Alexandria,5-7 years,2 - 4 years,College degree,Man,Asian or Asian American,84500.0,51.0
25-34,Nonprofits,Organizing Director,103000,0.0,Washington,Seattle,8 - 10 years,8 - 10 years,College degree,Woman,White,103000.0,53.0
25-34,Education (Primary/Secondary),"Teacher, Secondary",58000,6000.0,Connecticut,Denver,8 - 10 years,5-7 years,Master's degree,Non-binary,White,64000.0,9.0
35-44,Engineering or Manufacturing,Design Engineer,74000,10000.0,Utah,Brigham City,8 - 10 years,2 - 4 years,Master's degree,Man,White,84000.0,49.0
25-34,Computing or Tech,Senior Data Scientist,188000,0.0,Washington,Seattle,2 - 4 years,2 - 4 years,PhD,Woman,White,188000.0,53.0
45-54,Law,Assistant city attorney,84400,0.0,New Mexico,Albuquerque,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White,84400.0,35.0
35-44,Education (Higher Education),Financial Aid Counselor,56062,9660.0,California,Los Angeles,11 - 20 years,5-7 years,College degree,Woman,White,65722.0,6.0
35-44,Engineering or Manufacturing,SRE,185000,40000.0,California,San Diego,21 - 30 years,21 - 30 years,Some college,Man,White,225000.0,6.0
55-64,"Accounting, Banking & Finance",Director HR,200000,50000.0,Washington,Seattle,41 years or more,31 - 40 years,College degree,Woman,White,250000.0,53.0
35-44,Computing or Tech,Program Lead,104000,0.0,New York,NYC,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer,104000.0,36.0
55-64,Education (Higher Education),Director of Donor Relations,85000,0.0,Connecticut,Hartford,31 - 40 years,11 - 20 years,Some college,Woman,White,85000.0,9.0
35-44,Computing or Tech, Network Coordinator,50000,0.0,Oregon,Bend,21 - 30 years,1 year or less,Some college,Man,White,50000.0,41.0
45-54,Health care,VP,180000,10000.0,Minnesota,Twin Cities,21 - 30 years,11 - 20 years,Master's degree,Woman,White,190000.0,27.0
35-44,Nonprofits,Senior Financial Analyst ,77480,0.0,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White,77480.0,25.0
55-64,Engineering or Manufacturing,Project Controls Manager,135000,7000.0,Oregon,Lake Oswego,21 - 30 years,11 - 20 years,College degree,Woman,White,142000.0,41.0
45-54,Computing or Tech,Taxonomist,175000,50000.0,Washington,Seattle,21 - 30 years,21 - 30 years,Master's degree,Man,White,225000.0,53.0
25-34,"Marketing, Advertising & PR",Medical writer,55000,0.0,California,San Diego ,2 - 4 years,2 - 4 years,College degree,Woman,White,55000.0,6.0
25-34,Nonprofits,Zoo keeper,42000,2000.0,Nebraska,Omaha,11 - 20 years,11 - 20 years,College degree,Woman,White,44000.0,31.0
35-44,Computing or Tech,Microsoft engineer,95500,0.0,Indiana,Indianapolis,21 - 30 years,11 - 20 years,College degree,Woman,White,95500.0,18.0
55-64,Computing or Tech,Lead Business analyst,125000,8000.0,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White",133000.0,17.0
55-64,Health care,Occupational Therapist,90000,0.0,Texas,Fort Worth,31 - 40 years,21 - 30 years,Master's degree,Woman,White,90000.0,48.0
35-44,Education (Higher Education),"Associate Director, University Career Center",70000,0.0,Oregon,Prefer not to say,11 - 20 years,11 - 20 years,PhD,Woman,White,70000.0,41.0
25-34,Computing or Tech,Staff Engineer,170000,5000.0,California,San Jose,8 - 10 years,8 - 10 years,College degree,Man,Asian or Asian American,175000.0,6.0
25-34,Computing or Tech,Software Engineering Director,230000,18000.0,Texas,Houston,8 - 10 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin, Native American or Alaska Native, White",248000.0,48.0
45-54,"Marketing, Advertising & PR",Director of Research,145000,10000.0,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White,155000.0,36.0
35-44,Education (Primary/Secondary),Tutor,57000,0.0,Maryland,Olney,11 - 20 years,11 - 20 years,Master's degree,Woman,White,57000.0,24.0
35-44,Nonprofits,communications manager,101000,0.0,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Woman,White,101000.0,6.0
55-64,Education (Higher Education),Director of Donor Relations,85000,0.0,Connecticut,Hartford,31 - 40 years,11 - 20 years,Some college,Woman,White,85000.0,9.0
25-34,Nonprofits,Business Analyst,89500,0.0,Washington,Seattle,5-7 years,2 - 4 years,Master's degree,Woman,White,89500.0,53.0
35-44,Computing or Tech,Staff software engineer,190000,25000.0,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Man,White,215000.0,17.0
25-34,Computing or Tech,Graduate intern,65000,0.0,Oregon,Portland,2 - 4 years,1 year or less,College degree,Woman,White,65000.0,41.0
35-44,Computing or Tech,Software Engineer,124000,0.0,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White,124000.0,53.0
35-44,Computing or Tech,Engineering Manager,225000,265000.0,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Man,White,490000.0,53.0
25-34,Nonprofits,Researcher,61000,0.0,Wisconsin,Madison,8 - 10 years,5-7 years,Master's degree,Woman,White,61000.0,55.0
35-44,Health care,Proposal manager,12000,18000.0,Arizona,Philadelphia ,11 - 20 years,8 - 10 years,College degree,Woman,White,30000.0,4.0
25-34,Education (Higher Education),Training Coordinator,53000,0.0,Colorado,Fort Collins,5-7 years,5-7 years,Master's degree,Woman,White,53000.0,8.0
35-44,Computing or Tech,Team Lead,88000,0.0,Colorado,Broomfield,11 - 20 years,11 - 20 years,Master's degree,Woman,White,88000.0,8.0
25-34,Nonprofits,State Program Director,54000,0.0,District of Columbia,Washington,5-7 years,5-7 years,College degree,Non-binary,White,54000.0,11.0
55-64,Education (Higher Education),Executive assistant to the president,101000,0.0,Oregon,Portland,31 - 40 years,21 - 30 years,Some college,Woman,White,101000.0,41.0
25-34,Computing or Tech,GIS Programmer Analyst,96000,50000.0,California,Walnut Creek,8 - 10 years,5-7 years,Master's degree,Man,White,146000.0,6.0
35-44,Computing or Tech,Front end developer,92000,5000.0,Maryland,Baltimore,11 - 20 years,8 - 10 years,Master's degree,Man,White,97000.0,24.0
25-34,"Accounting, Banking & Finance",Assistant Team Manager,65000,10000.0,Missouri,St. Louis,5-7 years,5-7 years,College degree,Woman,White,75000.0,29.0
45-54,Computing or Tech,Sr QA Analyst,91000,0.0,North Carolina,Cary,21 - 30 years,21 - 30 years,College degree,Woman,White,91000.0,37.0
25-34,"Marketing, Advertising & PR",Digital Marketing Strategist,65000,0.0,Oregon,Portland,5-7 years,5-7 years,College degree,Woman,White,65000.0,41.0
25-34,Government and Public Administration,Program analyst ,62000,0.0,Pennsylvania,Harrisburg ,5-7 years,2 - 4 years,Master's degree,Woman,White,62000.0,42.0
25-34,"Marketing, Advertising & PR",Social Media Associate,65000,0.0,California,San Mateo,5-7 years,2 - 4 years,College degree,Woman,White,65000.0,6.0
25-34,Engineering or Manufacturing,Senior Engineer,110000,0.0,Arizona,Phoenix,8 - 10 years,8 - 10 years,Master's degree,Woman,White,110000.0,4.0
35-44,Engineering or Manufacturing,Product Manager,150000,30000.0,Ohio,Cleveland,11 - 20 years,2 - 4 years,PhD,Man,White,180000.0,39.0
35-44,Computing or Tech,Engineering manager ,179000,20000.0,Arizona,Gilbert,11 - 20 years,11 - 20 years,College degree,Man,White,199000.0,4.0
35-44,Health care,Coder II,36000,10000.0,Kentucky,Somerset,11 - 20 years,11 - 20 years,Some college,Woman,White,46000.0,21.0
35-44,Computing or Tech,Principal Engineer,135000,10000.0,Nevada,Reno,11 - 20 years,11 - 20 years,Master's degree,Man,White,145000.0,32.0
25-34,Education (Primary/Secondary),Elementary School Teacher,73000,0.0,New York,New York City,5-7 years,5-7 years,Master's degree,Woman,White,73000.0,36.0
25-34,"Marketing, Advertising & PR",Executive Director,110000,0.0,California,Los Angeles,5-7 years,5-7 years,College degree,Woman,White,110000.0,6.0
35-44,Government and Public Administration,Program manager,55744,0.0,Utah,Provo,8 - 10 years,5-7 years,Master's degree,Woman,White,55744.0,49.0
35-44,Government and Public Administration,Management Analyst 4,78408,0.0,Washington,Olympia,11 - 20 years,5-7 years,College degree,Woman,White,78408.0,53.0
35-44,Education (Primary/Secondary),Vice principal ,115000,0.0,California,San Francisco ,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American,115000.0,6.0
25-34,Computing or Tech,Software Engineer,85000,30000.0,Illinois,Chicago,8 - 10 years,1 year or less,College degree,Woman,White,115000.0,17.0
25-34,Computing or Tech,Embedded software engineer ,97000,0.0,California,Sacramento,5-7 years,2 - 4 years,College degree,Man,White,97000.0,6.0
35-44,Education (Higher Education),Job Coach,41600,0.0,Utah,Ogden,1 year or less,1 year or less,Master's degree,Woman,White,41600.0,49.0
25-34,Nonprofits,Database Administrator,71000,0.0,Washington,Seattle,5-7 years,2 - 4 years,College degree,Woman,White,71000.0,53.0
25-34,Health care,Paramedic,68000,0.0,Indiana,Princeton,11 - 20 years,11 - 20 years,Some college,Woman,White,68000.0,18.0
25-34,Education (Higher Education),Research Scientist,80000,0.0,Washington,Seattle,5-7 years,5-7 years,Master's degree,Woman,White,80000.0,53.0
45-54,Computing or Tech,Senior engineering manager,268000,187000.0,California,San Francisco,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",455000.0,6.0
25-34,Law,Associate attorney (senior),270000,15000.0,California,Los Angeles,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,285000.0,6.0
25-34,Computing or Tech,Customer Success Specialist,75000,1500.0,Oregon,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White,76500.0,41.0
35-44,Nonprofits,Development and Communications Manager,70000,0.0,Washington,Seattle,21 - 30 years,11 - 20 years,Master's degree,Woman,White,70000.0,53.0
25-34,Computing or Tech,Content editor,53000,0.0,North Carolina,Durham,8 - 10 years,5-7 years,Master's degree,Man,White,53000.0,37.0
35-44,Education (Higher Education),Library Technician,45000,0.0,Arizona,Glendale,11 - 20 years,11 - 20 years,College degree,Woman,White,45000.0,4.0
55-64,Computing or Tech,Senior Software Engineer,195000,0.0,New York,New York,31 - 40 years,31 - 40 years,Master's degree,Man,White,195000.0,36.0
55-64,"Marketing, Advertising & PR",Creative Director ,135000,30000.0,Texas,Dallas,21 - 30 years,21 - 30 years,College degree,Woman,White,165000.0,48.0
35-44,Nonprofits,Education Director,54000,0.0,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White,54000.0,25.0
35-44,Nonprofits,Program Director,132500,33125.0,New Mexico,Santa Fe,11 - 20 years,11 - 20 years,College degree,Woman,White,165625.0,35.0
45-54,Government and Public Administration,Public Affairs Officer ,106000,0.0,District of Columbia,Washington,21 - 30 years,11 - 20 years,College degree,Woman,White,106000.0,11.0
35-44,Engineering or Manufacturing,technical editor,64400,650.0,Oregon,tualatin,11 - 20 years,8 - 10 years,College degree,Man,White,65050.0,41.0
35-44,Computing or Tech,Software Engineer,74000,3000.0,New Hampshire,Portsmouth,5-7 years,5-7 years,College degree,Non-binary,White,77000.0,33.0
45-54,Computing or Tech,Senior Support Analyst,78000,6000.0,Oregon,Portland,21 - 30 years,5-7 years,College degree,Woman,White,84000.0,41.0
35-44,Computing or Tech,Technical Support Engineer ,114100,14000.0,California,Sacramento ,21 - 30 years,5-7 years,College degree,Man,Black or African American,128100.0,6.0
25-34,Computing or Tech,Software Engineer II,93000,6000.0,Massachusetts,Woburn,2 - 4 years,2 - 4 years,College degree,Woman,White,99000.0,25.0
25-34,Nonprofits,Community Engagement Manager,95000,0.0,Washington,Seattle,8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",95000.0,53.0
25-34,Computing or Tech,Head of Vendor Management,154000,150000.0,Washington,Seattle,11 - 20 years,8 - 10 years,Master's degree,Woman,Black or African American,304000.0,53.0
25-34,Computing or Tech,Software Engineer,120000,0.0,Washington,Eastern WA,11 - 20 years,11 - 20 years,College degree,Woman,"Asian or Asian American, White",120000.0,53.0
25-34,"Accounting, Banking & Finance",Audit Senior Manager,142000,15000.0,Alaska,Anchorage,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer,157000.0,2.0
25-34,Computing or Tech,Mathematician,73000,1000.0,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Man,White,74000.0,17.0
25-34,Computing or Tech,Performance Analyst,82500,0.0,California,Los Angeles,1 year or less,1 year or less,Master's degree,Woman,Middle Eastern or Northern African,82500.0,6.0
35-44,Nonprofits,Software Engineering Manager,158000,0.0,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Man,White,158000.0,6.0
35-44,Computing or Tech,Engineering manager,147000,2000.0,Colorado,Boulder,21 - 30 years,11 - 20 years,College degree,Man,White,149000.0,8.0
45-54,Computing or Tech,Site Reliability Engineer,147000,70000.0,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Man,White,217000.0,53.0
55-64,Education (Primary/Secondary),ESL Teacher,50000,0.0,North Carolina,Gastonia ,41 years or more,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",50000.0,37.0
25-34,Health care,Director of Analytics,200000,65000.0,California,Not answering,8 - 10 years,8 - 10 years,Master's degree,Woman,White,265000.0,6.0
25-34,"Accounting, Banking & Finance",Senior Analyst,90000,6300.0,Texas,Dallas,2 - 4 years,2 - 4 years,Master's degree,Woman,White,96300.0,48.0
25-34,Law,deputy county counsel (attorney),136000,0.0,California,San Francisco Bay Area,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White,136000.0,6.0
45-54,Education (Higher Education),Senior Instructor ,55000,0.0,Colorado,Colorado Springs ,21 - 30 years,11 - 20 years,Master's degree,Woman,White,55000.0,8.0
35-44,Computing or Tech,Senior Manager,220000,240000.0,California,Bay Area,11 - 20 years,11 - 20 years,College degree,Man,White,460000.0,6.0
25-34,Nonprofits,Vice President of Policy,130000,0.0,California,Oakland,11 - 20 years,11 - 20 years,Master's degree,Woman,White,130000.0,6.0
25-34,Computing or Tech,Data Analyst,115000,0.0,Texas,Austin,2 - 4 years,2 - 4 years,Master's degree,Man,Asian or Asian American,115000.0,48.0
45-54,Computing or Tech,senior software engineer,140000,8500.0,Massachusetts,boston,31 - 40 years,31 - 40 years,Master's degree,Man,White,148500.0,25.0
25-34,Nonprofits,Vice President of Policy,130000,0.0,California,Oakland,11 - 20 years,11 - 20 years,Master's degree,Woman,White,130000.0,6.0
35-44,Health care,Compliance Coordinator,70000,0.0,Washington,Bellevue ,11 - 20 years,11 - 20 years,Master's degree,Woman,White,70000.0,53.0
35-44,Law,"Associate General Counsel, IP",225000,45000.0,Massachusetts,Boston,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,270000.0,25.0
25-34,Computing or Tech,Senior Product Manager,147500,14750.0,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White,162250.0,53.0
25-34,Law,Attorney,208000,13500.0,California,Los Angeles,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,221500.0,6.0
25-34,"Marketing, Advertising & PR",Director of Digital Media,75000,600.0,California,Los Angeles,8 - 10 years,5-7 years,College degree,Woman,White,75600.0,6.0
25-34,Education (Primary/Secondary),Teacher ,60000,0.0,California,Vacaville ,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American,60000.0,6.0
45-54,Nonprofits,Operations Manager ,91422,0.0,California,Oakland ,21 - 30 years,5-7 years,Master's degree,Woman,Black or African American,91422.0,6.0
25-34,Computing or Tech,Senior Data Scientist,160000,116000.0,California,San Francisco,2 - 4 years,2 - 4 years,PhD,Man,White,276000.0,6.0
25-34,Computing or Tech,Data Scientist,145000,60000.0,California,San Francisco,1 year or less,1 year or less,PhD,Man,White,205000.0,6.0
18-24,Health care,Nursing station Technician,40000,300.0,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Man,White,40300.0,27.0
45-54,Education (Primary/Secondary),Teacher,45000,15000.0,Arizona,Tucson,21 - 30 years,5-7 years,Master's degree,Woman,Black or African American,60000.0,4.0
25-34,Computing or Tech,Software Engineer,69000,7000.0,California,San Diego,5-7 years,2 - 4 years,Some college,Woman,White,76000.0,6.0
55-64,Computing or Tech,Cyber Security Engineer,193000,18000.0,Virginia,Dulles,21 - 30 years,11 - 20 years,Master's degree,Woman,White,211000.0,51.0
25-34,Nonprofits,Director of measurement and learning,100360,0.0,California,San Francisco,2 - 4 years,1 year or less,PhD,Woman,White,100360.0,6.0
45-54,Education (Primary/Secondary),Teacher,62000,0.0,Washington,Grays Harbor County,21 - 30 years,11 - 20 years,College degree,Woman,White,62000.0,53.0
25-34,Nonprofits,Senior Research Administrative Assistant ,62100,350.0,New York,New York ,8 - 10 years,5-7 years,College degree,Woman,White,62450.0,36.0
25-34,Nonprofits,General Maintenance ,27040,200.0,Alaska,Anchorage ,2 - 4 years,1 year or less,Master's degree,Woman,White,27240.0,2.0
35-44,"Accounting, Banking & Finance",Administrative Assistant,46280,0.0,Illinois,Chicago/Deerfield (two offices),11 - 20 years,5-7 years,College degree,Man,White,46280.0,17.0
35-44,Computing or Tech,Business Analyst,120000,0.0,Tennessee,Nashville,8 - 10 years,5-7 years,Master's degree,Man,White,120000.0,47.0
25-34,Computing or Tech,Software Engineer,140000,60000.0,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Man,White,200000.0,53.0
25-34,Government and Public Administration,Bank Examiner,103000,1000.0,Texas,Houston,8 - 10 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin",104000.0,48.0
25-34,Computing or Tech,Technical project manager,60000,0.0,Washington,Seattle,5-7 years,2 - 4 years,College degree,Man,White,60000.0,53.0
35-44,Education (Higher Education),Managing Editor,68000,0.0,California,Oakland,11 - 20 years,11 - 20 years,College degree,Woman,White,68000.0,6.0
25-34,Computing or Tech,Data Analyst ,78500,5000.0,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,College degree,Man,White,83500.0,27.0
25-34,Computing or Tech,Senior data analyst ,145000,14500.0,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Man,White,159500.0,11.0
18-24,Computing or Tech,Software Engineer,131000,20000.0,California,Mountain View,1 year or less,1 year or less,College degree,Man,White,151000.0,6.0
25-34,Engineering or Manufacturing,Lab Technician,29120,100.0,Washington,Spokane,2 - 4 years,1 year or less,College degree,Man,White,29220.0,53.0
25-34,Computing or Tech,Business Intelligence Engineer,115400,70000.0,Washington,Seattle,8 - 10 years,2 - 4 years,College degree,Man,White,185400.0,53.0
18-24,"Marketing, Advertising & PR",Data Scientist,110000,0.0,California,Los Angeles,2 - 4 years,2 - 4 years,College degree,Man,White,110000.0,6.0
25-34,Computing or Tech,Principal software engineer ,124000,0.0,Pennsylvania,Philadelphia ,8 - 10 years,5-7 years,College degree,Man,"Middle Eastern or Northern African, White",124000.0,42.0
55-64,Health care,Senior Product Manager - Digital,158000,15000.0,California,Bay Area,31 - 40 years,21 - 30 years,Master's degree,Woman,White,173000.0,6.0
35-44,Computing or Tech,Senior Web Developer,120000,10000.0,California,San Francisco ,5-7 years,5-7 years,High School,Man,White,130000.0,6.0
55-64,Education (Primary/Secondary),Music Teacher Half Time Grades PK -4,54100,0.0,North Dakota,Minot,11 - 20 years,11 - 20 years,College degree,Woman,White,54100.0,38.0
35-44,Government and Public Administration,Lead Planner,57000,0.0,Texas,Too identifiable ,11 - 20 years,11 - 20 years,Master's degree,Woman,White,57000.0,48.0
25-34,Computing or Tech,Senior ML Engineer,185000,45000.0,California,San Francisco,2 - 4 years,2 - 4 years,PhD,Man,White,230000.0,6.0
25-34,Engineering or Manufacturing,Senior Financial Analyst FP&A,100000,12000.0,Texas,Beaumont,11 - 20 years,8 - 10 years,Master's degree,Man,White,112000.0,48.0
25-34,Law,Records Specialist,33000,0.0,Oregon,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White,33000.0,41.0
25-34,Education (Higher Education),Assistant Professor,152000,25000.0,California,San Francisco,5-7 years,2 - 4 years,PhD,Man,White,177000.0,6.0
25-34,"Marketing, Advertising & PR",Data science manager ,185000,15000.0,Ohio,Cincinnati ,5-7 years,5-7 years,PhD,Man,Asian or Asian American,200000.0,39.0
25-34,Computing or Tech,Employee Success Quality Assurance Specialist,50000,500.0,Arizona,Tempe,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",50500.0,4.0
35-44,Computing or Tech,VP of Engineering,170000,0.0,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White,170000.0,53.0
25-34,Engineering or Manufacturing,Sales operations manager ,104000,12000.0,Washington,Seattle,8 - 10 years,5-7 years,College degree,Man,White,116000.0,53.0
25-34,Government and Public Administration,Consular Officer,85000,0.0,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White,85000.0,11.0
